"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2543","Mock API responses in Playwright","Google Chrome","2026-05-23","passed","2026-05-23","","Test_Talk_Tutorial_Ch_6\mock_api_responses_test.spec.ts","",""
"","45124","Data driven testing using JSON in Playwright: Cypress by Testers Talk","Google Chrome","2026-05-28","failed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
"","14554","Data driven testing using CSV in Playwright: Playwright by Testers Talk","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
"","1869","Mocking APIs with HAR file in Playwright","Google Chrome","2026-05-23","passed","2026-05-23","","Test_Talk_Tutorial_Ch_6\mock_from_HAR_file_test.spec.ts","",""
"","25440","Codegen test case","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_1\codegen_test.spec.ts","",""
"","46911","Data driven testing using JSON in Playwright: API Testing by Testers Talk","Google Chrome","2026-05-28","failed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
"","10186","Handling Confirm boxes in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\alert_popups_test.spec.ts","",""
"","3969","Get Text and Attribute Value in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\getcontent_innertext_getattribute_test.spec.ts","",""
"","10354","Handling Alerts in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\alert_popups_test.spec.ts","",""
"","19613","Data driven testing using JSON in Playwright: Cypress by Testers Talk","Google Chrome","2026-06-02","passed","2026-06-02","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_EXCEL_test.spec.ts","",""
"","4014","Test 3","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_3\annotations_test.spec.ts","",""
"","34417","Data driven testing using JSON in Playwright: Playwright by Testers Talk","Google Chrome","2026-05-28","failed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_JSON_test.spec.ts","",""
"","11423","Data driven testing using JSON in Playwright: JavaScript by Testers Talk","Google Chrome","2026-05-28","failed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_JSON_test.spec.ts","",""
"","8841","Test 2 will fail","Google Chrome","2026-05-28","failed","2026-05-28","","Test_Talk_Tutorial_Ch_1\codegen_test.spec.ts","",""
"","15898","Data driven testing using JSON in Playwright: API Testing by Testers Talk","Google Chrome","2026-06-02","passed","2026-06-02","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_EXCEL_test.spec.ts","",""
"","3707","Working with checkboxes and radio buttons in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\checkbox_radiobutton_test.spec.ts","",""
"","17001","Data driven testing using JSON in Playwright: Playwright by Testers Talk","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
"","10928","Handling Prompts in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\alert_popups_test.spec.ts","",""
"","19422","Data driven testing using JSON in Playwright: Playwright by Testers Talk","Google Chrome","2026-06-02","passed","2026-06-02","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_EXCEL_test.spec.ts","",""
"","2286","Mock API request body in Playwright","Google Chrome","2026-05-23","passed","2026-05-23","","Test_Talk_Tutorial_Ch_6\mock_api_requests_test.spec.ts","",""
"","21004","Data driven testing using CSV in Playwright: JavaScript by Testers Talk","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
"","5257","Iterating matching elements in Playwright","Google Chrome","2026-05-12","passed","2026-05-12","","Test_Talk_Tutorial_Ch_4\iterating_elements_test.spec.ts","",""
"","17634","Read ENV file in Playwright","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_5\reading_env_file_test.spec.ts","",""
"","19189","Data driven testing using JSON in Playwright: JavaScript by Testers Talk","Google Chrome","2026-05-28","passed","2026-05-28","","Test_Talk_Tutorial_Ch_5\data_driven_testing_using_CSV_test.spec.ts","",""
